
Teze;brum;20251109;1;108;true
Teze;brum;20251210;2;110;true
Teze;brum;20251225;4;100;true
Teze;brum;20251225;4;100;true
Teze;brum;20251212225;4;101;true
Teze;brum;20251225;5;6757;true
Teze;brum;20251225;1;1:04;true
Teze;brum;20261209;3;1:10;false
Teze;brum;20241203;5;1:22;true
Montenegro;SF24;20251225;2;1:01;false
Montenegro;SF24;20261209;2;1:07;false
Montenegro;SF24;20241203;4;1:03;true
Montenegro;SF24;20251225;1;1:10;true
Montenegro;SF24;20241203;3;1:15;true
Colapinto;A5213;20251225;5;1:05:03;true
Colapinto;A5213;20261209;10;1:08:03;true
Colapinto;A5213;20261209;7;1:05:01;false
Colapinto;A5213;20251225;1;1:10;true
Colapinto;A5213;20241203;10;1:05;false
